Code article,Libellé,Code Famille Articles,Libellé de la famille article,Code sous-famille article,Libellé de la sous-famille article,PV HT,Taux de TVA,PV TTC,Nom du fournisseur,Image de l'article (Base 64),Stock réel,Code barre,Code article gamme,Valeurs de gammes,Gammes
AR00038,GILET CASTELLANI RIO 156, 50, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,156¤50¤GAUCHE,GA00002¤GA00003¤GA00004
AR00039,GILET CASTELLANI RIO 158, 52, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,158¤52¤DROIT,GA00002¤GA00003¤GA00004
AR00040,GILET CASTELLANI RIO 158, 52, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,158¤52¤GAUCHE,GA00002¤GA00003¤GA00004
AR00041,GILET CASTELLANI RIO 158, 54, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,158¤54¤DROIT,GA00002¤GA00003¤GA00004
AR00042,GILET CASTELLANI RIO 158, 54, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,158¤54¤GAUCHE,GA00002¤GA00003¤GA00004
AR00043,GILET CASTELLANI RIO 158, 50, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,158¤50¤DROIT,GA00002¤GA00003¤GA00004
AR00044,GILET CASTELLANI RIO 158, 50, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,158¤50¤GAUCHE,GA00002¤GA00003¤GA00004
AR00045,GILET CASTELLANI RIO 159, 52, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,159¤52¤DROIT,GA00002¤GA00003¤GA00004
AR00046,GILET CASTELLANI RIO 159, 52, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,159¤52¤GAUCHE,GA00002¤GA00003¤GA00004
AR00047,GILET CASTELLANI RIO 159, 54, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,159¤54¤DROIT,GA00002¤GA00003¤GA00004
AR00048,GILET CASTELLANI RIO 159, 54, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,159¤54¤GAUCHE,GA00002¤GA00003¤GA00004
AR00049,GILET CASTELLANI RIO 159, 50, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,159¤50¤DROIT,GA00002¤GA00003¤GA00004
AR00050,GILET CASTELLANI RIO 159, 50, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,159¤50¤GAUCHE,GA00002¤GA00003¤GA00004
AR00051,GILET CASTELLANI RIO 169, 52, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,169¤52¤DROIT,GA00002¤GA00003¤GA00004
AR00052,GILET CASTELLANI RIO 169, 52, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,169¤52¤GAUCHE,GA00002¤GA00003¤GA00004
AR00053,GILET CASTELLANI RIO 169, 54, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,169¤54¤DROIT,GA00002¤GA00003¤GA00004
AR00054,GILET CASTELLANI RIO 169, 54, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,169¤54¤GAUCHE,GA00002¤GA00003¤GA00004
AR00055,GILET CASTELLANI RIO 169, 50, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,169¤50¤DROIT,GA00002¤GA00003¤GA00004
AR00056,GILET CASTELLANI RIO 169, 50, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,169¤50¤GAUCHE,GA00002¤GA00003¤GA00004
AR00057,GILET CASTELLANI TK PRO BLEU CLAIR, 52, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,BC¤52¤DROIT,GA00002¤GA00003¤GA00004
AR00058,GILET CASTELLANI TK PRO BLEU CLAIR, 52, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,BC¤52¤GAUCHE,GA00002¤GA00003¤GA00004
AR00059,GILET CASTELLANI TK PRO BLEU CLAIR, 54, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,BC¤54¤DROIT,GA00002¤GA00003¤GA00004
AR00060,GILET CASTELLANI TK PRO BLEU CLAIR, 54, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,BC¤54¤GAUCHE,GA00002¤GA00003¤GA00004
AR00061,GILET CASTELLANI TK PRO GRIS, 52, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,GRIS¤52¤DROIT,GA00002¤GA00003¤GA00004
AR00062,GILET CASTELLANI TK PRO GRIS, 52, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,GRIS¤52¤GAUCHE,GA00002¤GA00003¤GA00004
AR00063,GILET CASTELLANI TK PRO GRIS, 54, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,GRIS¤54¤DROIT,GA00002¤GA00003¤GA00004
AR00064,GILET CASTELLANI TK PRO GRIS, 54, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,GRIS¤54¤GAUCHE,GA00002¤GA00003¤GA00004
AR00065,GILET CASTELLANI TK PRO BLANC, 52, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,BLANC¤52¤DROIT,GA00002¤GA00003¤GA00004
AR00066,GILET CASTELLANI TK PRO BLANC, 52, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,BLANC¤52¤GAUCHE,GA00002¤GA00003¤GA00004
AR00067,GILET CASTELLANI TK PRO BLANC, 54, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,BLANC¤54¤DROIT,GA00002¤GA00003¤GA00004
AR00068,GILET CASTELLANI TK PRO BLANC, 54, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,BLANC¤54¤GAUCHE,GA00002¤GA00003¤GA00004
AR00069,GILET CASTELLANI TK PRO ROUGE, 52, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,ROUGE¤52¤DROIT,GA00002¤GA00003¤GA00004
AR00070,GILET CASTELLANI TK PRO ROUGE, 52, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,ROUGE¤52¤GAUCHE,GA00002¤GA00003¤GA00004
AR00071,GILET CASTELLANI TK PRO ROUGE, 54, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,ROUGE¤54¤DROIT,GA00002¤GA00003¤GA00004
AR00072,GILET CASTELLANI TK PRO ROUGE, 54, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,317.97000000,8.50,344.99745000,,,0,,AG00009,ROUGE¤54¤GAUCHE,GA00002¤GA00003¤GA00004
AR00073,GILET CASTELLANI  SPORT TECH 521, L, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,179.72000000,8.50,194.99620000,,,0,,AG00013,521¤L¤DROIT,GA00002¤GA00003¤GA00004
AR00074,GILET CASTELLANI  SPORT TECH 521, L, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,179.72000000,8.50,194.99620000,,,0,,AG00013,521¤L¤GAUCHE,GA00002¤GA00003¤GA00004
AR00075,GILET CASTELLANI  SPORT TECH 522, L, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,179.72000000,8.50,194.99620000,,,0,,AG00013,522¤L¤DROIT,GA00002¤GA00003¤GA00004
AR00076,GILET CASTELLANI  SPORT TECH 522, L, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,179.72000000,8.50,194.99620000,,,0,,AG00013,522¤L¤GAUCHE,GA00002¤GA00003¤GA00004
